id,restaurant_id,customer_id,assigned_driver_id,food_items,order_date,order_value,status
X2fCzJx,101,019c7875-8f41-767d-ac6d-820361f3f1dd,,"2x Classic Burger, ",2026-03-06,12.0,Pending
x06ttzs,102,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Vegan Burger,03-25-2026,15.0,Paid
x06ttys,102,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Vegan Burger,03-25-2026,15.0,Pending
x0y3ddyd,102,019c7875-8f41-767d-ac6d-820361f3f1dd,e38ca513-b0ce-4428-a52e-c32c30bed946,1x Vegan Burger,03-25-2026,15.0,Ready_for_pickup
x0y5dnz,102,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Vegan Burger,03-25-2026,15.0,Ready_for_pickup
x0t4fds,102,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Vegan Burger,03-25-2026,15.0,Ready_for_pickup
pkK6HKz,101,019c7875-8f41-767d-ac6d-820361f3f1dd,e38ca513-b0ce-4428-a52e-c32c30bed946,1x Vegan Burger,03-25-2026,15.0,In_transit
JKe3uFC,102,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,2x Classic Burger,03-25-2026,30.0,Pending
A1b2C3d,101,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,1x Vegan Burger,03-20-2026,12.99,Pending
B4e5F6g,101,019c7875-8f41-767d-ac6d-820361f3f1dd,,2x Avocado Toast,03-21-2026,17.0,Paid
C7h8I9j,102,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,1x Classic Burger,03-22-2026,10.5,Pending
D1k2L3m,102,019c7875-8f41-767d-ac6d-820361f3f1dd,,2x Fries,03-23-2026,6.0,Complete
E4n5O6p,103,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,1x Spaghetti Carbonara,03-24-2026,14.99,Accepted_by_restaurant
F7q8R9s,103,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Lasagna,03-25-2026,15.0,Paid
G1t2U3v,104,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,3x California Roll,03-26-2026,26.97,Pending
H4w5X6y,104,019c7875-8f41-767d-ac6d-820361f3f1dd,,2x Salmon Nigiri,03-26-2026,10.0,Complete
I7z8A9b,101,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,1x Quinoa Salad,03-27-2026,10.0,Pending
J1c2D3e,102,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Classic Burger,03-27-2026,13.5,Paid
K4f5G6h,103,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,2x Fettuccine Alfredo,03-28-2026,27.0,Pending
L7i8J9k,104,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Spicy Tuna Roll,03-28-2026,9.5,Pending
M1l2M3n,101,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,2x Vegan Burger,03-29-2026,34.48,Complete
N4o5P6q,102,019c7875-8f41-767d-ac6d-820361f3f1dd,,1x Milkshake,03-29-2026,4.5,Pending
O7r8S9t,104,3dd3bcec-5e81-405f-bab0-9cfa5cdfb3d1,,2x California Roll, 03-30-2026,22.98,Paid
